OpenTime,open,high,low,close,volume,size,ma_7,ma_25,ma_40,ma_55,ma_99,ma_100,ma_200,ema_5,ema_20,ema_55,ema_100,ema_200,ema_9,prev_close,prev_open,color,ema_33,rsi,macd,macdsignal,macdhist,slowk,slowd,pivot_high,pivot_low,atr,center,up,down,in_uptrend,lower_band,upper_band,ema_200_pos,condition
2023-05-15 21:04:00,1824.35,1824.36,1824.32,1824.36,393.627,0.0005481404335785845,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,-1,0
2023-05-15 21:05:00,1824.36,1824.36,1824.33,1824.34,302.363,0.0010962748580314089,,,,,,,,,,,,,,1824.36,1824.35,-1,,,,,,,,,,,,,,0,,,-1,0
2023-05-15 21:06:00,1824.34,1825.36,1824.34,1824.82,660.161,0.026310885032396272,,,,,,,,,,,,,,1824.34,1824.36,1,,,,,,,,0.0,0.0,,,,,0,,,-1,0
2023-05-15 21:07:00,1824.81,1824.82,1824.43,1824.47,545.403,0.018632076764151784,,,,,,,,,,,,,,1824.82,1824.34,-1,,,,,,,,0.0,0.0,0.4799999999999424,,,,0,,,-1,0
2023-05-15 21:08:00,1824.48,1824.66,1824.47,1824.61,256.69,0.0071253178987920815,,,,,,,,1824.52,,,,,,1824.47,1824.81,1,,,,,,,,0.0,0.0,0.38333333333331315,,,,0,,,-1,0
2023-05-15 21:09:00,1824.62,1824.62,1824.44,1824.44,199.071,0.009865067794929152,,,,,,,,1824.4933333333333,,,,,,1824.61,1824.48,-1,,,,,,,,0.0,0.0,0.31555555555548753,,,,0,,,-1,0
2023-05-15 21:10:00,1824.44,1824.93,1824.42,1824.75,955.442,0.01699151520466255,1824.5414285714287,,,,,,,1824.578888888889,,,,,,1824.44,1824.62,1,,,,,,,,0.0,0.0,0.380370370370322,,,,0,,,-1,0
2023-05-15 21:11:00,1824.75,1824.82,1824.49,1824.82,423.572,0.003836141937248189,1824.607142857143,,,,,,,1824.6592592592592,,,,,,1824.75,1824.44,1,,,,,,,,0.0,0.0,0.3635802469135238,,,,0,,,-1,0
2023-05-15 21:12:00,1824.82,1825.44,1824.82,1824.97,726.103,0.008219988820820189,1824.6971428571428,,,,,,,1824.762839506173,,,,,1824.6200000000001,1824.82,1824.75,1,,,,,,57.51633986927434,42.29070974502099,0.0,1824.42,0.44905349794238864,,,,0,,,-1,0
2023-05-15 21:13:00,1824.96,1824.97,1824.96,1824.97,150.817,0.0005479572155001153,1824.7185714285713,,,,,,,1824.8318930041153,,,,,1824.69,1824.97,1824.82,1,,,,,,62.09150326796307,54.23673244917621,0.0,0.0,0.3027023319615894,,,,0,,,-1,0
2023-05-15 21:14:00,1824.96,1825.0,1824.85,1825.0,360.946,0.0021918288620004613,1824.7942857142857,,,,,,,1824.8879286694103,,,,,1824.752,1824.97,1824.96,1,,,,,,54.90196078430935,58.169934640515585,1825.44,0.0,0.25180155464108994,1824.76,1824.5081984453589,1825.0118015546411,0,1824.5081984453589,1825.0118015546411,-1,0
2023-05-15 21:15:00,1825.0,1825.0,1824.61,1824.66,237.205,0.018630136986296886,1824.8014285714285,,,,,,,1824.8119524462736,,,,,1824.7336,1825.0,1824.96,-1,,,,,,42.89301685586421,53.29549363604554,0.0,0.0,0.29786770309409333,1824.76,1824.4621322969058,1825.0578677030942,0,1824.5081984453589,1825.0118015546411,-1,0
2023-05-15 21:16:00,1824.65,1824.66,1824.65,1824.65,182.897,0.0,1824.8314285714282,,,,,,,1824.7579682975158,,,,,1824.71688,1824.66,1825.0,-1,,,,,,26.525586349533672,41.44018799656907,0.0,0.0,0.20191180206272585,1824.76,1824.5580881979372,1824.9619118020628,0,1824.5580881979372,1824.9619118020628,-1,0
2023-05-15 21:17:00,1824.65,1824.66,1824.51,1824.52,211.132,0.007124654043247151,1824.7985714285712,,,,,,,1824.6786455316771,,,,,1824.677504,1824.65,1824.65,-1,,,,,,8.251610092365548,25.890071099254474,1825.0,0.0,0.18460786804184756,1824.84,1824.655392131958,1825.0246078680418,False,1824.655392131958,1824.9619118020628,-1,0
2023-05-15 21:18:00,1824.53,1824.53,1824.52,1824.52,95.232,0.0005480863564858295,1824.7557142857142,,,,,,,1824.6257636877847,,,,,1824.6460032,1824.52,1824.65,-1,,53.63636363636618,,,,2.966969920504432,12.581388787467882,0.0,0.0,0.12640524536122869,1824.84,1824.7135947546387,1824.966405245361,False,1824.7135947546387,1824.9619118020628,-1,0
2023-05-15 21:19:00,1824.52,1824.56,1824.46,1824.47,578.633,0.0027404468024441785,1824.6842857142856,,,,,,,1824.5738424585231,,,,,1824.61080256,1824.52,1824.53,-1,,52.35494880546414,,,,1.9778281683025798,4.398802727057518,0.0,0.0,0.11760349690745547,1824.84,1824.7223965030926,1824.9576034969073,False,1824.7223965030926,1824.9576034969073,-1,0
2023-05-15 21:20:00,1824.46,1824.62,1824.14,1824.38,711.831,0.004384859081587277,1824.6000000000001,,,,,,,1824.5092283056822,,,,,1824.564642048,1824.47,1824.52,-1,,50.037637376428734,,,,16.68217144407618,7.208989844294396,0.0,0.0,0.23840233127156726,1824.84,1824.6015976687283,1825.0784023312715,False,1824.6015976687283,1824.9576034969073,-1,0
2023-05-15 21:21:00,1824.38,1824.9,1824.38,1824.89,466.727,0.027954702419451586,1824.5842857142857,,,,,,,1824.6361522037882,,,,,1824.6297136384,1824.38,1824.46,1,,60.662932378593105,,,,48.89663617733893,22.518878596572563,0.0,0.0,0.33226822084770546,1824.84,1824.5077317791522,1825.1722682208476,False,1824.5077317791522,1824.9576034969073,-1,0
2023-05-15 21:22:00,1824.89,1824.9,1824.7,1824.7,137.659,0.010411586451789126,1824.5900000000001,,,,,,,1824.6574348025256,,,,,1824.6437709107201,1824.89,1824.38,-1,,55.89389716325424,,,,72.840755735492,46.139854452302366,0.0,1824.14,0.2881788138984855,1824.607,1824.3188211861016,1824.8951788138984,False,1824.5077317791522,1824.8951788138984,-1,0
2023-05-15 21:23:00,1824.7,1825.0,1824.7,1824.98,408.523,0.015344988217239695,1824.637142857143,,,,,,,1824.764956535017,1824.6660000000004,,,,1824.7110167285762,1824.7,1824.89,1,,60.786418746156656,,,,90.01427988575983,70.58389059953025,0.0,0.0,0.29211920926564183,1824.607,1824.3148807907344,1824.8991192092656,True,1824.5077317791522,1824.8951788138984,-1,0
2023-05-15 21:24:00,1824.97,1824.97,1824.56,1824.57,324.568,0.021918168517843634,1824.6442857142858,,,,,,,1824.6999710233447,1824.6568571428575,,,,1824.682813382861,1824.98,1824.7,-1,,51.73655429991815,,,,73.78620971031644,78.88041511052275,0.0,0.0,0.3347461395104521,1824.607,1824.2722538604896,1824.9417461395103,True,1824.5077317791522,1824.9417461395103,-1,0
